sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 83,293,3.23,Premium,0.011023890784982934,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 82,293,3.16,Standard,0.010784982935153583,"28.3935° N, 76.9600° E",28.3935,76.96
sector 65,293,8.4,Premium,0.028668941979522185,"28.4030° N, 77.0690° E",28.403,77.069
sector 45,293,5.95,Premium,0.02030716723549488,"28.4466° N, 77.0660° E",28.4466,77.066
sector 91,293,4.0,Premium,0.013651877133105802,"28.4014° N, 76.9225° E",28.4014,76.9225
sector 66,293,7.63,Premium,0.026040955631399316,"28.3925° N, 77.0541° E",28.3925,77.0541
sector 83,293,3.29,Standard,0.011228668941979523,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 92,293,4.38,Standard,0.014948805460750853,"28.4079° N, 76.9153° E",28.4079,76.9153
sector 39,293,4.75,Premium,0.016211604095563138,"28.4434° N, 77.0515° E",28.4434,77.0515
sector 83,293,4.03,Basic,0.013754266211604096,"28.3986° N, 76.9647° E",28.3986,76.9647
sector 67,293,4.72,Premium,0.016109215017064846,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,293,5.95,Premium,0.02030716723549488,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 92,294,4.02,Premium,0.013673469387755101,"28.4079° N, 76.9153° E",28.4079,76.9153
sector 99,296,4.6,Standard,0.01554054054054054,"28.4640° N, 76.9614° E",28.464,76.9614
sector 2,297,5.0,Premium,0.016835016835016835,"28.5095° N, 77.0320° E",28.5095,77.032
sector 2,297,4.75,Standard,0.015993265993265993,"28.5095° N, 77.0320° E",28.5095,77.032
sector 2,297,4.25,Standard,0.01430976430976431,"28.5095° N, 77.0320° E",28.5095,77.032
sector 28,299,12.5,Basic,0.04180602006688963,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 28,299,9.5,Premium,0.03177257525083612,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 47,299,8.0,Basic,0.026755852842809364,"28.4276° N, 77.0492° E",28.4276,77.0492
sector 28,299,11.1,Premium,0.037123745819397994,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 28,299,8.75,Premium,0.029264214046822744,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 47,300,8.26,Premium,0.027533333333333333,"28.4276° N, 77.0492° E",28.4276,77.0492
sector 108,300,3.41,Premium,0.011366666666666667,"28.5134° N, 76.9830° E",28.5134,76.983
sector 108,300,3.6,Premium,0.012,"28.5134° N, 76.9830° E",28.5134,76.983
sector 41,300,8.0,Premium,0.02666666666666667,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 28,300,10.0,Standard,0.03333333333333333,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 108,300,3.85,Standard,0.012833333333333334,"28.5134° N, 76.9830° E",28.5134,76.983
sector 47,300,7.2,Standard,0.024,"28.4276° N, 77.0492° E",28.4276,77.0492
sector 108,300,3.45,Premium,0.0115,"28.5134° N, 76.9830° E",28.5134,76.983
sector 42,301,6.66,Basic,0.02212624584717608,"28.4576° N, 77.1020° E",28.4576,77.102
sector 28,301,9.1,Basic,0.030232558139534883,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 54,301,10.5,Basic,0.03488372093023256,"28.4348° N, 77.1089° E",28.4348,77.1089
sector 49,301,7.2,Basic,0.023920265780730896,"28.4121° N, 77.0480° E",28.4121,77.048
sector 45,301,8.5,Basic,0.02823920265780731,"28.4466° N, 77.0660° E",28.4466,77.066
sector 28,301,10.0,Basic,0.03322259136212625,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 41,301,8.5,Basic,0.02823920265780731,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 41,301,7.8,Basic,0.025913621262458473,"28.4557° N, 77.0632° E",28.4557,77.0632
sector 54,301,9.0,Basic,0.029900332225913623,"28.4348° N, 77.1089° E",28.4348,77.1089
sector 54,301,8.75,Basic,0.029069767441860465,"28.4348° N, 77.1089° E",28.4348,77.1089
sector 28,301,8.82,Basic,0.02930232558139535,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 48,301,6.1,Premium,0.02026578073089701,"28.4177° N, 77.0359° E",28.4177,77.0359
sector 28,301,11.3,Premium,0.03754152823920266,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 42,301,6.84,Premium,0.022724252491694352,"28.4576° N, 77.1020° E",28.4576,77.102
sector 50,301,8.28,Premium,0.027508305647840528,"28.4178° N, 77.0628° E",28.4178,77.0628
sector 28,301,9.2,Basic,0.030564784053156144,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 2,301,5.25,Basic,0.01744186046511628,"28.5095° N, 77.0320° E",28.5095,77.032
sector 31,301,6.5,Premium,0.02159468438538206,"28.4528° N, 77.0498° E",28.4528,77.0498
sector 28,301,9.15,Premium,0.030398671096345517,"28.4728° N, 77.0865° E",28.4728,77.0865
sector 2,301,4.4,Basic,0.01461794019933555,"28.5095° N, 77.0320° E",28.5095,77.032
sector 50,301,4.5,Premium,0.014950166112956811,"28.4178° N, 77.0628° E",28.4178,77.0628
sector 54,301,8.0,Premium,0.026578073089700997,"28.4348° N, 77.1089° E",28.4348,77.1089
sector 2,301,5.35,Standard,0.01777408637873754,"28.5095° N, 77.0320° E",28.5095,77.032
