property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
flat,sector 82,0.81,2.0,2.0,2,Relatively New,1176.0,0.0,0.0,1.0,Medium,High Floor,0.0006887755102040817,"28.3935° N, 76.9600° E",28.3935,76.96
flat,sector 53,5.6,3.0,3.0,3+,Under Construction,2617.0,0.0,0.0,0.0,Low,Low Floor,0.0021398547955674436,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,sector 74,1.5,2.0,2.0,3,Relatively New,1300.0,0.0,1.0,0.0,High,High Floor,0.001153846153846154,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,sector 37d,1.45,3.0,3.0,3,Relatively New,1639.0,0.0,0.0,0.0,Medium,Mid Floor,0.0008846857840146431,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,sector 108,1.65,3.0,4.0,3,Moderately Old,1771.32,0.0,0.0,1.0,Medium,Mid Floor,0.0009315087053722648,"28.5134° N, 76.9830° E",28.5134,76.983
flat,sector 52,0.45,1.0,1.0,0,Moderately Old,513.0,0.0,0.0,1.0,Low,Low Floor,0.0008771929824561404,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,sector 12,0.35,2.0,2.0,1,Moderately Old,737.0,0.0,0.0,0.0,Low,Low Floor,0.00047489823609226593,"28.4723° N, 77.0320° E",28.4723,77.032
house,sector 43,5.75,4.0,4.0,2,Under Construction,2430.0,1.0,1.0,2.0,High,Mid Floor,0.0023662551440329217,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,sector 85,1.12,2.0,2.0,3,Relatively New,1485.0,0.0,0.0,0.0,Low,Mid Floor,0.0007542087542087543,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,sector 36,0.75,2.0,2.0,2,Relatively New,856.0,0.0,0.0,0.0,Low,Mid Floor,0.0008761682242990654,"28.4160° N, 76.9914° E",28.416,76.9914
flat,sector 89,0.25,1.0,1.0,1,New Property,430.0,0.0,0.0,0.0,Medium,Mid Floor,0.0005813953488372093,"28.4253° N, 76.9439° E",28.4253,76.9439
house,sector 4,0.67,3.0,2.0,1,Moderately Old,783.0,0.0,0.0,0.0,Low,Low Floor,0.000855683269476373,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,sector 2,0.56,1.0,1.0,2,Moderately Old,723.0,0.0,0.0,0.0,Medium,Mid Floor,0.0007745504840940526,"28.5095° N, 77.0320° E",28.5095,77.032
house,sector 14,4.15,5.0,4.0,2,Old Property,2250.0,0.0,0.0,1.0,Medium,Low Floor,0.0018444444444444446,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,sector 67,3.4,3.0,4.0,3,Relatively New,2134.0,1.0,0.0,1.0,High,High Floor,0.0015932521087160263,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,sector 81,2.3,3.0,3.0,3+,Relatively New,1617.0,1.0,0.0,2.0,Low,High Floor,0.0014223871366728508,"28.3867° N, 76.9485° E",28.3867,76.9485
