sector,area,price,feature
sector 47,166,4.25,Basic
sector 88a,166,2.38,Premium
sector 82a,166,2.38,Premium
sector 63,166,3.7,Premium
sector 88a,166,2.18,Premium
sector 2,167,1.2,Basic
sector 7,167,4.0,Basic
sector 30,167,0.28,Basic
sector 2,167,1.3,Basic
sector 2,167,1.2,Basic
sector 105,167,1.0,Basic
sector 89,167,2.5,Basic
sector 26,167,5.25,Basic
sector 2,167,1.0,Basic
sector 47,167,5.25,Basic
sector 33 sohna,167,0.37,Basic
sector 25,167,6.0,Basic
sector 88a,167,2.3,Premium
sector 88a,167,2.13,Premium
sector 17a,167,0.8,Standard
